,0,1,2
0,"851 California St, San Francisco, CA 94108",https://www.rentcafe.com/apartments/ca/san-francisco/851-california-llc/default.aspx,$950+
1,"430 Davis Court,, San Francisco, CA 94111",https://www.rentcafe.com/apartments/ca/san-francisco/the-gateway-4/default.aspx,"$2,783+"
2,"1188 Mission Street, San Francisco, CA 94103",https://www.rentcafe.com/apartments/ca/san-francisco/1188-mission-at-trinity-place-0/default.aspx,"$2,374+"
3,"16 Turk Street, San Francisco, CA 94102",https://www.rentcafe.com/apartments/ca/san-francisco/25-mason-street/default.aspx,$950+
4,"620 Eddy St., San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/620-eddy-st0/default.aspx,"$1,750"
5,"1190 Mission Street, San Francisco, CA 94103",https://www.rentcafe.com/apartments/ca/san-francisco/1190-mission-at-trinity-place0/default.aspx,"$2,394+"
6,"888 O'farrell Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/trinity-towers-apartments-0/default.aspx,"$2,534+"
7,"1177 Market Street, San Francisco, CA 94103",https://www.rentcafe.com/apartments/ca/san-francisco/1177-market-at-trinity-place-0/default.aspx,"$2,625+"
8,"971 Eddy St., San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/the-konrad-on-the-park/default.aspx,"$2,826"
9,"245 Leavenworth Street, San Francisco, CA",https://www.rentcafe.com/apartments/ca/san-francisco/245-leavenworth/default.aspx,"$2,045"
10,"2660 3Rd Street, San Francisco, CA 94107",https://www.rentcafe.com/apartments/ca/san-francisco/windsor-at-dogpatch-0/default.aspx,"$2,900+"
11,"750 O'farrell Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/750-o-farrell/default.aspx,"$2,095+"
12,"721 Geary Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/721-geary-apartments/default.aspx,"$2,545+"
13,"2061 Mission St., San Francisco, CA 94110",https://www.rentcafe.com/apartments/ca/san-francisco/mission-street-apartments/default.aspx,"$2,850"
14,"1028 Market St, San Francisco, CA 94102",https://www.rentcafe.com/apartments/ca/san-francisco/prism0/default.aspx,"$2,810"
15,"350 Turk St./455 Eddy St., San Francisco,",https://www.rentcafe.com/apartments/ca/san-francisco/mosser-towers-apartments/default.aspx,"$2,450"
16,"1700 Bush Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/1700-bush-apartments/default.aspx,"$2,845+"
17,"1030-1042 Polk Street, San Francisco, CA",https://www.rentcafe.com/apartments/ca/san-francisco/1030-polk-apartments/default.aspx,"$2,845+"
18,"691 O'farrell Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/691-o-farrell-apartments/default.aspx,"$2,395+"
19,"2775 Market Street, San Francisco, CA 94114",https://www.rentcafe.com/apartments/ca/san-francisco/2775-market-st/default.aspx,"$2,596"
20,"1520 Gough Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/1520-gough-apartments/default.aspx,"$2,795"
21,"784 Geary Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/784-geary-apartments/default.aspx,"$2,495+"
22,"840 California Street, San Francisco, CA 94108",https://www.rentcafe.com/apartments/ca/san-francisco/840-california-apartments-suites/default.aspx,"$2,895+"
23,"347 Eddy St., San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/347-eddy/default.aspx,"$1,895"
24,"1234 Jones Street, San Francisco, CA 94109",https://www.rentcafe.com/apartments/ca/san-francisco/1234-jones-apartments/default.aspx,"$2,925+"
